track_name,artist_name,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
ANXIOUS,Josh A,175003,30/4/21,63,0.681,0.621,11,-6.48,1,0.0607,0.291,0,0.113,0.421,84.007,2.916716667
Batman,LPB Poody,156431,12/2/21,77,0.893,0.565,1,-4.74,1,0.268,0.0754,0,0.0375,0.808,81.009,2.607183333
Kiss (Never Let Me Go),Thyro,259120,29/11/11,68,0.618,0.652,0,-2.971,1,0.0313,0.0711,0,0.216,0.507,139.902,4.318666667
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,192745,6/11/20,80,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24E-06,0.372,0.699,90.988,3.212416667
BOO!,Championxiii,133565,16/10/20,63,0.974,0.157,2,-14.201,1,0.375,0.039,0,0.279,0.522,115.023,2.226083333
Tokyo,Leat'eq,174117,7/5/18,65,0.743,0.879,5,-2.717,0,0.0339,0.0725,0.00141,0.081,0.636,101.966,2.90195
Put Your Records On,Ritt Momney,210463,24/4/20,85,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,3.507716667
Jackpot,Chuku100,167680,14/5/21,29,0.96,0.73,9,-4.511,1,0.132,0.0739,0,0.0609,0.768,103.006,2.794666667
In A Club,Volac,180880,16/8/19,63,0.806,0.861,7,-7,1,0.0491,0.0321,0.696,0.155,0.9,123.025,3.014666667
I'm a Flirt Remix (feat. T.I. & T-Pain),R. Kelly,330600,19/5/14,62,0.835,0.571,8,-4.771,0,0.102,0.0716,0,0.0604,0.902,138.038,5.51
Lovefool,The Cardigans,193893,17/9/96,67,0.64,0.602,9,-7.902,1,0.0299,0.0646,0,0.375,0.951,111.87,3.23155
Relationship (feat. Future),Young Thug,215306,16/6/17,73,0.842,0.597,2,-6.336,1,0.0627,0.00252,0,0.124,0.298,145.992,3.588433333
Lotus Flower Bomb (feat. Miguel),Wale,213253,28/10/11,59,0.512,0.598,9,-4.959,0,0.115,0.611,0,0.0881,0.345,70.189,3.554216667
Talking to the Moon,Bruno Mars,217866,5/10/10,86,0.523,0.606,1,-4.754,0,0.0301,0.512,0,0.106,0.065,145.837,3.6311
Bunx Up,DeeWunn,215700,1/1/13,49,0.947,0.805,11,-4.192,0,0.296,0.008,0,0.0805,0.637,99.998,3.595
SugarCrash!,ElyOtto,80117,25/8/20,64,0.745,0.74,0,-6.558,1,0.097,0.53,7.37E-05,0.0936,0.36,97.735,1.335283333
Promise (feat. Fetty Wap),Kid Ink,224240,25/12/15,66,0.797,0.469,8,-8.112,1,0.0646,0.0599,0,0.0753,0.481,103.057,3.737333333
Please Don't Go,Mike Posner,196813,9/8/10,80,0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,3.280216667
Rebel,Zum,135882,11/9/20,43,0.815,0.76,7,-4.955,0,0.129,0.649,0,0.312,0.868,101.937,2.2647
Weak,Larissa Lambert,159375,22/1/21,77,0.617,0.451,7,-9.323,1,0.0584,0.627,0,0.267,0.487,127.923,2.65625
OUT WEST (feat. Young Thug),JACKBOYS,157712,27/12/19,83,0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,2.628533333
Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli XCX,232933,15/12/17,76,0.504,0.711,9,-5.864,1,0.0452,0.0585,1.83E-05,0.382,0.5,134.824,3.882216667
Don't Rush (feat. DaBaby),Young T & Bugsey,201960,12/6/20,74,0.959,0.508,2,-7.857,1,0.257,0.144,9.82E-05,0.136,0.346,107.998,3.366
JOTARO! - TheRedW Mix,Jae Trill,145000,18/3/21,57,0.611,0.603,2,-9.919,1,0.046,0.142,0,0.253,0.36,162.941,2.416666667
It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,281080,3/12/13,71,0.657,0.574,1,-9.484,0,0.0407,0.016,8.10E-05,0.172,0.211,119.992,4.684666667
Frikitona,Plan B,183182,12/7/11,61,0.947,0.874,2,-3.813,0,0.176,0.316,0,0.372,0.835,120.063,3.053033333
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,227893,4/7/05,55,0.901,0.812,4,-7.039,0,0.107,0.0324,0.00906,0.0493,0.785,125.462,3.798216667
Say It Right,Mangoo,133724,5/2/21,60,0.702,0.934,8,-4.051,1,0.261,0.0126,0,0.153,0.472,124.013,2.228733333
Nesesari (feat. Philkeyz),Kizz Daniel,178000,30/11/18,74,0.774,0.802,5,-5.482,0,0.123,0.328,2.70E-06,0.0666,0.95,110.793,2.966666667
Foot Fungus,Ski Mask The Slump God,129546,30/11/18,76,0.881,0.623,1,-9.662,1,0.119,0.257,1.50E-06,0.0964,0.745,88.953,2.1591
nasty,Ariana Grande,200732,30/10/20,71,0.772,0.506,6,-6.558,0,0.139,0.0814,1.10E-05,0.182,0.456,127.894,3.345533333
Levitating (feat. DaBaby),Dua Lipa,203064,1/10/20,92,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,3.3844
Culo,Lil Jon,219080,3/8/04,59,0.858,0.656,6,-4.96,0,0.358,0.114,0,0.141,0.969,59.972,3.651333333
Astronaut In the Ocean,Masked Wolf,132780,10/2/21,45,0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,2.213
Another One Bites The Dust,Queen,215933,26/10/81,55,0.922,0.392,5,-12.083,0,0.122,0.0444,0.165,0.123,0.771,109.878,3.598883333
I'm a Slave 4 U,Britney Spears,203600,31/10/01,71,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,3.393333333
Let Me Blow Ya Mind,Eve,230133,11/10/19,38,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,3.83555
Renai Circulation (English Cover) [TV Size],Lizz Robinett,91066,13/8/20,68,0.896,0.555,4,-12.145,1,0.085,0.252,0.0143,0.109,0.772,120.013,1.517766667
BANG BANG BANG,BIGBANG,220177,13/12/16,69,0.69,0.843,1,-2.949,1,0.0534,0.0167,0,0.346,0.428,135.01,3.669616667
Officially Missing You - Midi Mafia Mix aka Radio Main,Tamia,204146,2003,57,0.733,0.605,2,-11.012,1,0.0836,0.0618,0.0366,0.251,0.9,104.97,3.402433333
LOVE. FEAT. ZACARI.,Kendrick Lamar,213400,14/4/17,79,0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,3.556666667
Leave The Door Open,Bruno Mars,242096,5/3/21,96,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,4.034933333
No Idea,Don Toliver,154424,13/3/20,81,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998,2.573733333
What You Know Bout Love,Pop Smoke,160000,3/7/20,53,0.454,0.563,5,-8.495,0,0.421,0.643,4.57E-06,0.135,0.561,81.918,2.666666667
Up Down (Do This All Day) (feat. B.o.B),T-Pain,231893,13/8/13,58,0.763,0.53,5,-5.554,0,0.0577,0.272,0,0.16,0.469,97.033,3.864883333
Single Ladies (Put a Ring on It),Beyoncé,193213,17/11/08,69,0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,3.220216667
Teach Me How to Dougie,Cali Swag District,237480,12/7/11,69,0.846,0.438,11,-4.981,1,0.141,0.2,9.43E-05,0.0939,0.512,85.013,3.958
oui,Jeremih,238320,4/12/15,76,0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,3.972
Options (feat. Stephen Marley) - DJ Noodles Remix,Pitbull,251952,17/2/17,39,0.652,0.8,9,-4.926,1,0.04,0.000595,0.129,0.091,0.397,146.105,4.1992
What’s New,Megan Thee Stallion,155090,20/11/20,77,0.934,0.873,1,-4.707,1,0.309,0.00488,0,0.0832,0.721,139.997,2.584833333
#Twerkit,Busta Rhymes,231320,1/1/13,53,0.67,0.916,6,-4.344,0,0.439,0.159,4.39E-06,0.417,0.656,149.405,3.855333333
Got It All,Blxst,159130,20/11/20,62,0.605,0.583,0,-5.068,0,0.294,0.357,0,0.314,0.534,92.713,2.652166667
Shhh (Pew Pew),Young Fanatic,113911,3/7/19,61,0.821,0.614,4,-6.956,0,0.328,0.106,0.00144,0.0929,0.518,170.174,1.898516667
my neck el pasecito challenge,Dj Jac,165070,27/3/20,44,0.794,0.753,10,-5.942,0,0.0457,0.00153,0.594,0.0532,0.68,101.977,2.751166667
Be Happy,Dixie,198965,26/6/20,69,0.722,0.658,0,-4.94,1,0.119,0.208,0,0.249,0.592,87.004,3.316083333
Hay Que Bueno,KD One,160679,26/12/19,65,0.901,0.808,11,-3.233,1,0.0855,0.244,0.00829,0.46,0.898,123.995,2.677983333
Slumber Party (feat. Princess Nokia),Ashnikko,178404,15/1/21,86,0.964,0.398,11,-8.981,0,0.0795,0.00151,3.95E-05,0.101,0.563,105.012,2.9734
Rude Boy,Rihanna,222920,20/11/09,75,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,3.715333333
Beez In The Trap,Nicki Minaj,268493,1/1/12,63,0.813,0.782,9,-6.005,1,0.218,0.0227,0.00165,0.0956,0.681,150.003,4.474883333
Welcome To New York,Taylor Swift,212600,27/10/14,61,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76E-06,0.304,0.615,117.023,3.543333333
Obsessed,Addison Rae,134087,18/3/21,72,0.884,0.665,11,-7.929,1,0.0646,0.38,9.36E-06,0.111,0.472,110.016,2.234783333
Slow Motion,Trey Songz,197854,23/6/15,72,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92E-05,0.11,0.291,94.947,3.297566667
Beat It,Pateezy,161378,13/3/21,42,0.897,0.663,1,-6.893,1,0.299,0.0201,0,0.226,0.656,89.233,2.689633333
For Me,CHASE B,202410,23/10/20,68,0.904,0.498,2,-7.86,1,0.324,0.00919,0,0.0791,0.145,132.992,3.3735
Upside Down (feat. Charlie Puth),JVKE,116000,30/10/20,59,0.816,0.444,2,-9.635,1,0.0546,0.284,0.0243,0.225,0.566,120.022,1.933333333
Me & U,Cassie,192213,7/8/06,73,0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,3.20355
PROBLEMA,Daddy Yankee,184506,26/2/21,84,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,3.0751
OG Bobby Johnson,QUE.,199432,17/12/13,54,0.943,0.949,1,-4.22,1,0.222,0.0362,0,0.417,0.701,110.984,3.323866667
Take You There,Sean Kingston,236693,11/3/08,61,0.752,0.921,5,-4.321,0,0.0696,0.0182,0,0.256,0.634,115.033,3.944883333
Finesse - Remix; feat. Cardi B,Bruno Mars,217288,20/12/17,76,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,3.621466667
De Yang Gatal Gatal Sa - DJ DESA Remix,Aldo Bz,342749,30/10/20,55,0.931,0.94,0,-3.591,0,0.0533,0.203,0.402,0.376,0.784,132.986,5.712483333
Ride It,Regard,157605,26/7/19,86,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,2.62675
Ke cap gap ba gia TikTok - Dj Tiktokker Remix,PiuPiu,194954,18/12/20,45,0.875,0.677,3,-3.441,0,0.0467,0.0385,0.615,0.331,0.799,128.018,3.249233333
Hey Sexy Lady,Shaggy,199893,29/10/02,64,0.957,0.554,3,-6.618,0,0.067,0.0052,0.00185,0.249,0.64,101.783,3.33155
Oh No,Kreepa,166504,13/12/19,66,0.541,0.527,11,-7.438,0,0.147,0.00279,0.000509,0.286,0.429,176.123,2.775066667
Loco,Anitta,157323,29/1/21,69,0.806,0.67,7,-4.194,1,0.0491,0.00624,0.17,0.119,0.366,103.96,2.62205
So Pretty,Reyanna Maria,85741,20/1/21,71,0.799,0.543,10,-6.094,0,0.24,0.0512,0.0425,0.134,0.25,187.906,1.429016667
Tamo Loco To,Mark B.,96954,22/1/20,58,0.855,0.769,10,-7.759,0,0.0804,0.0374,0.000519,0.039,0.641,109.982,1.6159
Buss It,Erica Banks,187000,15/5/20,68,0.956,0.502,9,-5.995,1,0.213,0.0593,0,0.238,0.795,110.003,3.116666667
Friendships (Lost My Love) - ATB Remix,Pascal Letoublon,204374,18/12/20,57,0.656,0.904,11,-4.488,0,0.0425,0.298,0.000155,0.11,0.243,128.007,3.406233333
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,210960,11/11/11,83,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,3.516
Va Va Vroom Vroom - Remix,Eduardo Luzquiños,97206,8/1/21,63,0.868,0.329,2,-8.566,1,0.214,0.234,0.016,0.336,0.928,103.02,1.6201
Promiscuous,Nelly Furtado,242200,1/1/06,69,0.795,0.978,10,-6.097,0,0.0459,0.046,8.29E-05,0.143,0.843,114.321,4.036666667
Prrrum - Remix 2,Cosculluela,225924,1/1/10,43,0.712,0.684,5,-5.014,0,0.293,0.127,0,0.35,0.83,180.106,3.7654
LSD,TisaKorean,124455,31/7/19,47,0.61,0.505,1,-7.682,1,0.429,0.013,0,0.364,0.615,163.848,2.07425
Twin Nem,King Von,175533,20/9/19,67,0.871,0.545,0,-8.279,1,0.695,0.000826,0,0.0779,0.3,160.097,2.92555
Cry Baby (feat. DaBaby),Megan Thee Stallion,137983,19/11/20,44,0.955,0.436,11,-7.9,1,0.38,0.00527,0,0.169,0.559,130.041,2.299716667
Nasty Freestyle,T-Wayne,142212,4/5/15,64,0.779,0.472,11,-7.116,1,0.218,0.0577,0,0.114,0.412,135.051,2.3702
Nothin' on You (feat. Bruno Mars),B.o.B,268320,27/4/10,66,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4.472
Adderall (Corvette Corvette),Popp Hunna,136091,15/10/20,43,0.889,0.459,4,-8.676,0,0.398,0.0834,0,0.117,0.642,141.073,2.268183333
Candy Shop,50 Cent,209106,3/3/05,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.20E-05,0.38,0.755,125.173,3.4851
Vibe for Me (Bob for Me),Aqyila,151787,26/12/20,60,0.883,0.288,10,-13.191,0,0.109,0.454,3.39E-06,0.0917,0.628,119.932,2.529783333
Poker Face,Lady Gaga,237200,1/1/08,74,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64E-06,0.121,0.787,118.999,3.953333333
Milkshake,Kelis,182813,2008,56,0.887,0.774,1,-6.108,1,0.0434,0.00933,0.0213,0.159,0.826,113,3.046883333
Chivalry Is Dead,Trevor Wesley,208161,4/11/16,58,0.484,0.732,6,-4.892,1,0.0705,0.0471,0,0.0755,0.644,127.313,3.46935
Everytime Tha Beat Drop (feat. Dem Franchize Boyz),Monica,223293,11/1/06,58,0.762,0.644,7,-6.715,1,0.223,0.0522,0,0.0821,0.82,81.99,3.72155
Follow The Bass Intenso Boom Boom Tiktok,Yandro El Protagonista,144621,31/1/21,39,0.881,0.95,6,-4.355,1,0.33,0.2,1.35E-06,0.123,0.603,159.063,2.41035
Me Too,Kevin Gates,202300,28/9/18,70,0.726,0.605,7,-5.002,1,0.296,0.152,0,0.642,0.36,139.233,3.371666667
SexyBack (feat. Timbaland),Justin Timberlake,242733,12/9/06,79,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4.04555
drivers license,Olivia Rodrigo,242013,8/1/21,94,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31E-05,0.105,0.132,143.874,4.03355
Best Friend (feat. Doja Cat),Saweetie,155883,7/1/21,88,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61E-06,0.0684,0.402,94.018,2.59805
YRN - Remix,EZRA,268355,22/1/21,67,0.808,0.782,7,-8.505,0,0.197,0.0241,0.00156,0.123,0.634,126.026,4.472583333
GIRL LIKE ME,Black Eyed Peas,222522,18/6/20,47,0.966,0.485,2,-8.784,1,0.194,0.0206,0.0238,0.0655,0.314,124.029,3.7087
Love Not War (The Tampa Beat),Jason Derulo,192921,20/11/20,83,0.738,0.85,8,-3.049,1,0.0642,0.105,0,0.23,0.865,98.013,3.21535
MONTERO (Call Me By Your Name),Lil Nas X,137875,31/3/21,100,0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,2.297916667
Iko Iko,Justin Wellington,182857,3/6/19,62,0.861,0.754,5,-5.356,1,0.0602,0.131,2.14E-06,0.0774,0.836,105.042,3.047616667
Pablo Pablo - Oriental Remix,Drinche,143754,12/5/21,44,0.549,0.789,1,-8.311,1,0.0576,0.00138,0.308,0.103,0.398,125.296,2.3959
ghost town (voice memo),Chloe George,137250,30/3/21,78,0.471,0.229,8,-6.504,1,0.0358,0.953,0,0.0909,0.358,68.41,2.2875
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,243773,22/2/05,85,0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,4.062883333
Dangerous,Kardinal Offishall,246053,1/1/08,79,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,4.100883333
Sahara - Remix,Drinche,144763,25/4/21,37,0.713,0.597,7,-10.541,1,0.0684,0.0278,0.888,0.0656,0.248,116.472,2.412716667
Aman Aman,Drinche,174638,27/3/21,37,0.726,0.41,6,-8.858,1,0.062,0.00296,0.852,0.0842,0.277,95,2.910633333
Astronaut In The Ocean,Masked Wolf,132780,7/6/19,39,0.778,0.695,4,-6.865,0,0.0913,0.174,0,0.151,0.472,149.996,2.213
telepatía,Kali Uchis,160191,4/12/20,94,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,2.66985
Where Have You Been,Rihanna,242680,18/11/11,74,0.719,0.847,0,-6.34,0,0.0916,0.00201,0.0204,0.221,0.444,127.963,4.044666667
Day 'N' Nite (Nightmare),Kid Cudi,221240,1/1/09,74,0.88,0.443,11,-6.359,0,0.0653,0.462,7.13E-06,0.122,0.803,138.018,3.687333333
Up,Cardi B,156944,4/2/21,83,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166,2.615733333
Vacation,Dirty Heads,209142,13/10/17,74,0.739,0.754,8,-5.034,1,0.035,0.0431,0,0.0999,0.793,150.017,3.4857
Clandestina,Drinche,154597,2/1/21,36,0.809,0.523,4,-11.734,0,0.0564,0.00108,0.781,0.0787,0.235,117.999,2.576616667
Моя голова винтом (My head is spinning like a screw),kostromin,140000,2/2/21,78,0.833,0.748,1,-5.963,1,0.229,0.0331,1.44E-06,0.0728,0.484,119.925,2.333333333
Buss It,Erica Banks,188734,15/5/20,39,0.918,0.434,9,-9.541,1,0.173,0.569,3.14E-06,0.123,0.75,109.997,3.145566667
Rasputin - Club Mix,Boney M.,272226,21/2/11,64,0.719,0.907,6,-5.154,0,0.0502,0.167,0.00108,0.245,0.975,127.153,4.5371
Karma,Drinche,154111,2/11/20,38,0.615,0.817,11,-8.82,0,0.0402,0.0221,0.826,0.174,0.467,94.996,2.568516667
Maneater,Nelly Furtado,258893,1/1/06,79,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,4.314883333
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",237106,1985,80,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,3.951766667
